ObservationDate,Confirmed,Deaths,Recovered
2020-06-05,0.00560257369203884,0.017187247696729885,0.011936027252632915
2020-06-06,0.005669534721014833,0.017297563188027096,0.012157971050696846
2020-06-07,0.00572314941395596,0.01737006070862356,0.01229191897563579
2020-06-08,0.005775229234147538,0.01744334283442128,0.012586978241245226
2020-06-09,0.00582888215188894,0.017592417822660758,0.012740831439553131
2020-06-10,0.00589239706810158,0.017734902127209646,0.01295066215053034
2020-06-11,0.005959311051169541,0.017870011142866685,0.013115438974467554
2020-06-12,0.006035090247532309,0.018003237106040702,0.013287643863832698
2020-06-13,0.006110881205372085,0.018119358675827243,0.013511456815615422
2020-06-14,0.0061673774601801795,0.018170828777029926,0.013637928125679195
2020-06-15,0.006225855523864128,0.01823218490376849,0.013990348563204311
2020-06-16,0.006295715756922602,0.018360075551573936,0.014164374056841006
2020-06-17,0.006374855795340416,0.018477766331762995,0.014375272855657525
2020-06-18,0.0064575213364913885,0.01858666953369794,0.014543351042007152
2020-06-19,0.006551760171018267,0.01868945281506305,0.014727838941524365
2020-06-20,0.006647551520510206,0.018777328597604215,0.014988670846828634
2020-06-21,0.006721848770769961,0.018821580330955302,0.015102106630308098
2020-06-22,0.0068177547946627285,0.018890625588666218,0.015540629512515787
2020-06-23,0.0069242226249087106,0.019005021027009985,0.015719048731127828
2020-06-24,0.007030381716383232,0.019119730307434257,0.015928126925672793
2020-06-25,0.0071496372125062005,0.019499636145884545,0.01610778415518949
2020-06-26,0.007284726597051235,0.019599751769565372,0.016283703077268598
2020-06-27,0.0074072811874749565,0.019678683052812167,0.016490013953320806
2020-06-28,0.007527533468774356,0.0197263870490488,0.016632166734843544
2020-06-29,0.007649802843380633,0.01978005404481501,0.017118607921478464
2020-06-30,0.007782716354679181,0.019970242345600533,0.017493118357498404
2020-07-01,0.007933998352695029,0.020072711784885143,0.017720402594758884
2020-07-02,0.008096100909558267,0.02018177190786034,0.018982105629667647
2020-07-03,0.008252316847178984,0.020288007452110998,0.019186838648684514
2020-07-04,0.008385353853986118,0.0203335145537841,0.0217094922020698
2020-07-05,0.008532066518184342,0.02038168931314149,0.022011421214463887
2020-07-06,0.008668255600829629,0.02043755320347123,0.02243343728460951
2020-07-07,0.008846753656642068,0.020616757031439108,0.022732696077405325
2020-07-08,0.009022202549540174,0.02073915544283573,0.023144006994434224
2020-07-09,0.00920549928797189,0.020897018009329322,0.023524901682766403
2020-07-10,0.009405894273604038,0.021023339446732247,0.023866544143003935
2020-07-11,0.009582469327925664,0.021136165674673493,0.02416733224338785
2020-07-12,0.009754877879017193,0.021204897090303904,0.024428285522310224
2020-07-13,0.009927418746725062,0.0212726869796928,0.025050034018406848
2020-07-14,0.010128936953411478,0.02141485744216119,0.025466564001014196
2020-07-15,0.0103290761269187,0.021563932430400664,0.026116738198470643
2020-07-16,0.010551647377449498,0.021713948944881652,0.02647510594328283
2020-07-17,0.01076377443639716,0.021854864039028022,0.026877071091717764
2020-07-18,0.01095060255830054,0.021987933081161787,0.027253717703416322
2020-07-19,0.011130467885815162,0.022057292180953206,0.027457649656553704
2020-07-20,0.011311374104044997,0.02212319901785908,0.028160791300950488
2020-07-21,0.011502498105425562,0.022291575294049563,0.02869316026467575
2020-07-22,0.011709167839041495,0.022479723621311808,0.02939302482138374
2020-07-23,0.011909589287996911,0.022651552160387837,0.029937264124959513
2020-07-24,0.012127958750866589,0.02284142661909285,0.03062557391322406
2020-07-25,0.012316839250507871,0.022990815449412835,0.03105742124643606
2020-07-26,0.012481932162900403,0.02307429744282694,0.03150526562251409
2020-07-27,0.012648801058321146,0.023250519771030025,0.03218352567519967
2020-07-28,0.012845153036231783,0.023448554123828153,0.03290106223070352
2020-07-29,0.013055542336951508,0.02366541900145653,0.03372790786667132
2020-07-30,0.013255316904671481,0.02387883161619936,0.03432822178181088
2020-07-31,0.013457249703422429,0.024077650574198743,0.03491093652232544
2020-08-01,0.013625515274237878,0.024252931376160317,0.035486854340226213
2020-08-02,0.013760619360629174,0.024322761239072493,0.03565201955974136
2020-08-03,0.013896826085489972,0.024414873889700466,0.03673848336483239
